time_sec,peak,,,
26400,0,,,
26700,0,,,
27000,0,,,
27300,1,,,
27600,0,,,
27780,1,,,
27960,1,,,
28200,0,,,
28500,1,,,
28800,1,,,
29100,1,,,
29400,1,,,
29580,1,,,
29760,1,,,
30000,1,,,
30120,1,,,
30300,1,,,
30480,0,,,
30720,0,,,
30840,0,,,
30960,0,,,
31080,0,,,
31320,0,,,
31500,0,,,
31680,0,,,
31860,0,,,
32040,0,,,
32220,0,,,
32400,0,,,
32580,0,,,
32760,0,,,
33000,0,,,
33300,0,,,
33600,0,,,
33900,0,,,
34200,0,,,
34500,0,,,
34800,0,,,
35100,0,,,
35400,0,,,
35580,0,,,
35760,0,,,
36000,1,,,
36180,1,,,
36360,0,,,
36600,1,,,
36900,1,,,
37200,0,,,
37800,0,,,
38400,0,,,
38700,0,,,
39000,0,,,
39600,0,,,
40200,0,,,
40800,0,,,
41400,0,,,
41700,0,,,
42000,0,,,
42300,0,,,
42600,0,,,
42900,0,,,
43200,0,,,
43500,0,,,
43800,0,,,
43980,0,,,
44160,1,,,
44400,0,,,
44700,1,,,
45000,0,,,
45180,1,,,
45360,1,,,
45600,0,,,
45900,1,,,
46200,0,,,
46500,0,,,
46800,0,,,
47100,0,,,
47400,0,,,
47700,0,,,
48000,1,,,
48300,1,,,
48900,0,,,
49200,1,,,
49500,1,,,
49800,0,,,
49980,1,,,
50160,0,,,
50400,1,,,
50700,0,,,
51000,0,,,
51300,0,,,
51600,0,,,
52200,0,,,
52800,0,,,
53400,0,,,
54000,0,,,
54600,0,,,
55200,0,,,
55800,0,,,
56400,1,,,
56700,0,,,
57000,1,,,
57300,1,,,
57600,0,,,
57780,1,,,
57960,0,,,
58200,0,,,
58800,0,,,
59400,0,,,
60000,0,,,
60600,0,,,
61200,0,,,
61800,0,,,
62100,0,,,
62400,0,,,
62700,0,,,
63000,0,,,
63300,0,,,
63600,0,,,
63900,0,,,
64200,0,,,
64500,0,,,
64800,0,,,
65100,0,,,
65400,0,,,
65580,0,,,
65760,0,,,
66000,0,,,
66180,0,,,
66360,0,,,
66600,0,,,
66900,0,,,
67200,1,,,
67800,1,,,
68400,0,,,
69000,0,,,
69600,0,,,
70200,0,,,
70800,0,,,
71400,0,,,
72000,0,,,
73200,0,,,
74400,0,,,
75300,0,,,
75600,0,,,
75780,0,,,
76200,0,,,
76800,0,,,
78000,0,,,
78780,0,,,
78960,0,,,
79200,0,,,
79800,0,,,
81000,0,,,
81900,0,,,
82800,0,,,
0,0,,,
